window_total,n_meth,mean_meth,min_meth,max_meth,sd_meth,se_meth
1,8711,58.1928773847444,0,100,27.2630219590563,0.292105669628926
2,8442,57.7340800382021,0,100,27.1596987300974,0.295598532927276
3,8240,57.2891438421633,0,100,27.1221966661315,0.298786695352957
4,8429,58.1862951108473,0,100,26.3826843105785,0.287363069452378
5,8495,58.6884421524488,0,100,26.0149053037266,0.282254294062985
6,8578,59.4612886876113,0,100,25.6070109037434,0.27648136532998
7,8331,60.1097947148042,0,100,25.0725247620671,0.274694207597263
8,8388,60.5702013739481,0,100,24.9318525044678,0.272223327388218
9,8514,60.3699755761534,0,100,24.6961712256294,0.26764726180972
10,8250,60.1471202207001,0,100,24.5847403954082,0.270669083503828
11,8424,60.7933911842408,0,100,24.5606961673893,0.2675971560362
12,8381,60.7227212631341,0,100,24.1805151722725,0.264129937777086
13,8356,61.0203008411126,0,100,24.2091465090735,0.26483797775922
14,8396,61.1288242946825,0,100,24.2161666292842,0.264282971582123
15,8432,60.3267255956252,0,100,24.2956320488478,0.264583588700265
16,8268,60.7270431963408,0,100,24.2953467406359,0.267191641252612
17,8427,60.2512421204728,0,100,24.6383644427404,0.268395591385062
18,8425,60.3316590726422,0,100,24.6946598764649,0.269040768074224
19,8475,60.6495056837762,0,100,24.4705867264236,0.26581196688391
20,8452,60.7804728127397,0,100,24.2010459483949,0.263241521337573
21,8316,60.5354046251796,0,100,24.2282441305996,0.265683571527118
22,8453,60.8453455929826,0,100,24.3389162937322,0.264725515444849
23,8399,60.4474460740509,0,100,24.6220974678638,0.268665100577363
24,8373,60.8153020468315,0,100,24.2118717594462,0.264598768989582
25,8399,60.6265441509003,0,100,24.2610900629612,0.264725952384406
26,8351,60.6095077644235,0,100,24.3333562246106,0.266276458470335
27,8457,60.8317993905031,0,100,24.3191767403738,0.264448253833977
28,8420,60.9028539151846,0,100,24.4512243722231,0.266467694962311
29,8456,60.8667564781568,0,100,24.293507608423,0.264184745838655
30,8402,60.9460468478652,0,100,24.3325895784182,0.265458717741595
31,8279,60.8633797448049,0,100,24.5164211596792,0.269443761087146
32,8481,60.4384864144575,0,100,24.7509041403558,0.268761797209576
33,8501,60.1903109711975,0,100,24.7293671525147,0.268211870193205
34,8369,60.2385907656369,0,100,25.1163540604447,0.274548966156739
35,8501,60.2407814785508,0,100,25.0313450844276,0.271487088090045
36,8428,59.7592474557971,0,100,25.4485132491378,0.277204420541704
37,8395,59.0965154942793,0,100,25.9350976770226,0.283059371307742
38,8342,58.6219323891318,0,100,26.5013348804892,0.290156736066898
39,8419,57.997112721566,0,100,26.8974101055512,0.29314346026926
40,8538,58.0230741813633,0,100,27.3445139796925,0.295932139122726
41,8629,58.2550133736377,0,100,27.4273010890849,0.295258792702492
42,12052,55.7805277963679,0,100,28.7578472726317,0.261955071824345
43,9828,61.4007287727085,0,100,26.1145450023642,0.263420693975822
44,9374,61.1494761964836,0,100,25.5694595688792,0.264094328291244
45,9273,61.7167340854613,0,100,24.4346945533942,0.253744585920214
46,9072,62.3641499008461,0,100,23.4691782274182,0.246403210574604
47,9028,63.1459065684079,0,100,22.4024599459095,0.235776183930305
48,8845,63.3417528908953,0,100,22.3673296733993,0.237829224781936
49,8937,63.5901528189185,0,100,22.0840152233003,0.233605013365615
50,8918,64.1060574617875,0,100,21.4440742323054,0.227077219587519
51,8905,63.9800258381421,0,100,21.2990669624604,0.225706266528634
52,8913,63.9221161657581,0,100,21.2059185873385,0.224618300249566
53,8786,64.2056056016992,0,100,21.1915256248231,0.226082331996178
54,8789,64.1637453279622,0,100,21.1314654766282,0.225403099852036
55,8709,64.3241043463524,0,100,21.0507087008445,0.225570642342601
56,8711,64.7337786504117,0,100,20.8779492430025,0.223693739940672
57,8704,64.8329036900472,0,100,20.5537456913437,0.220308644090273
58,8697,64.829878633981,0,100,20.6572253554519,0.2215068965226
59,8798,64.6753955305347,0,100,20.5593507365002,0.219188324420918
60,8725,64.7011575959626,0,100,20.6539858473094,0.221116502990288
61,8818,64.772907274221,0,100,20.4344683740707,0.217609723076789
62,8747,64.7759108978338,0,100,20.6565525901865,0.220865701892985
63,8666,64.8548348995289,0,100,20.5826682103126,0.221101826872313
